name,type,n,p,k,price,weight,country,custom,available,created_at
UREA,UREA,0,0,0,0,50,ALL,0,1,2019-7-9 8:43
CAN,CAN,0,0,0,0,50,ALL,0,1,2019-7-10 8:43
SSP,SSP,0,0,0,0,50,ALL,0,1,2019-7-11 8:43
MOP,MOP,0,0,0,0,50,ALL,0,1,2019-7-12 8:43
DAP,DAP,0,0,0,0,50,ALL,0,1,2019-7-13 8:43
Nafaka Plus,NAFAKAPLUS,0,0,0,0,50,TZ,0,1,2019-7-14 8:43
NPK 17:17:17,NPK_17_17_17,17,17,17,0,50,TZ,0,1,2019-7-15 8:43
TSP,TSP,0,0,0,0,50,NG,0,1,2019-7-16 8:43
NPK 15:15:15,NPK_15_15_15,15,15,15,0,50,NG,0,1,2019-7-17 8:43
NPK 20:10:10,NPK_10_10_10,10,10,10,0,50,NG,0,1,2019-7-18 8:43
