country,fertilizer_key,min_price,max_price,price_per_bag,price_active,sort_order,desc
BI,FOM_II_MBUR_BI,0,0,0,1,0,I dont know
BI,FOM_II_MBUR_BI,75390,85390,75390,1,1,1
BI,FOM_II_MBUR_BI,75390,85390,80390,1,2,1
BI,FOM_II_MBUR_BI,75390,85390,85390,1,4,1
BI,FOM_II_MBUR_BI,-1,-1,-1,1,9999,Exact price
BI,FOM_I_BAGARA_BI,0,0,0,1,0,I dont know
BI,FOM_I_BAGARA_BI,67600,77600,67600,1,1,1
BI,FOM_I_BAGARA_BI,67600,77600,72600,1,2,1
BI,FOM_I_BAGARA_BI,67600,77600,77600,1,4,1
BI,FOM_I_BAGARA_BI,-1,-1,-1,1,9999,Exact price
BI,FOM_I_TOTA_HAZA_BI,0,0,0,1,0,I dont know
BI,FOM_I_TOTA_HAZA_BI,67000,77000,67000,1,1,1
BI,FOM_I_TOTA_HAZA_BI,67000,77000,72000,1,2,1
BI,FOM_I_TOTA_HAZA_BI,67000,77000,77000,1,4,1
BI,FOM_I_TOTA_HAZA_BI,-1,-1,-1,1,9999,Exact price
BI,DOLOMITE_BI,0,0,0,1,0,I dont know
BI,DOLOMITE_BI,6000,16000,6000,1,1,1
BI,DOLOMITE_BI,6000,16000,11000,1,2,1
BI,DOLOMITE_BI,6000,16000,16000,1,4,1
BI,DOLOMITE_BI,-1,-1,-1,1,9999,Exact price
