"country","investment_amount","area_unit","price_active","sort_order","created_at","updated_at"
"TZ","57550","acre","1","1","23/11/2021 11:04:29","23/11/2021 11:04:29"
"TZ","115100","acre","1","999","23/11/2021 11:04:33","23/11/2021 11:04:33"
"TZ","230200","acre","1","999","23/11/2021 11:04:36","23/11/2021 11:04:36"
"TZ","345300","acre","1","999","23/11/2021 11:04:39","23/11/2021 11:04:39"
"TZ","0","acre","1","0","23/11/2021 11:05:11","23/11/2021 11:05:11"
"NG","10271","acre","1","1","23/11/2021 11:13:47","23/11/2021 11:13:47"
"NG","20542","acre","1","999","23/11/2021 11:13:50","23/11/2021 11:13:50"
"NG","41084","acre","1","999","23/11/2021 11:13:52","23/11/2021 11:13:52"
"NG","61626","acre","1","999","23/11/2021 11:13:54","23/11/2021 11:13:54"
"NG","0","acre","1","0","23/11/2021 11:13:56","23/11/2021 11:13:56"
"NG","30813","acre","1","999","23/11/2021 11:17:53","23/11/2021 11:17:53"
"TZ","172650","acre","1","999","23/11/2021 11:17:59","23/11/2021 11:17:59"
"GH","202.35","acre","1","1","23/11/2021 11:19:17","23/11/2021 11:19:17"
"GH","404.69","acre","1","999","23/11/2021 11:19:22","23/11/2021 11:19:22"
"GH","485.63","acre","1","999","23/11/2021 11:19:25","23/11/2021 11:19:25"
"GH","607.04","acre","1","999","23/11/2021 11:19:30","23/11/2021 11:19:30"
"GH","809.39","acre","1","999","23/11/2021 11:19:33","23/11/2021 11:19:33"
"GH","0","acre","1","0","23/11/2021 11:23:01","23/11/2021 11:23:01"
